words level
a A1
"a cause de" A2
"a ce moment-la" B1
"a cloche-pied" B2
"a condition que" B2
"a cote de" A1
"a credit" B2
"a deux pas" B2
"a domicile" B2
"a fond" B2
"a grandes enjambees" B2
"a grands pas" B1
"a la bolognaise" B2
"a la fin" B1
"a la folie" B2
"a la mode" B2
"a la sauce tomate" B2
"a la vapeur" B2
"a la verticale" B2
"a l'angle de" B2
"a l'arriere" B1
"a l'avant de" B2
"a l'avenir" B2
"a l'endroit" B2
"a l'envers" B2
"a l'epoque" B2
"a l'exception de" B2
"a l'exterieur" B1
"a l'horizontale" B2
"a l'huile" B2
"a l'instant" B1
"a l'interieur" B1
"a l'occasion" B2
"a l'origine" B1
"a l'ouest" B2
"a notre epoque" B2
"a nouveau" B1
"a option" B2
"a partir de" B1
"a petits pas" B1
"a peu pres" B1
"a plat" B2
"a point" B1
"a portee de " B2
"a present" B1
"a proximite" B2
"a quatre pattes" B2
"a reculons" B2
"a tout bout de champ" B2
"a toute allure" B2
"a venir" B2
"a vol d'oiseau" B2
abaisser B2
abandonner B1
abattu B2
abbattement B2
abbaye B2
abbe B2
abeille A2
abominable B2
abondance B2
abonnement B2
aboutir B2
aboyer B1
abricot B1
abricotier B2
abscisse B2
absent A1
absorber B2
abstrait B1
accable B2
accablement B2
acceleration B2
accelerer B1
accent A1
acceptabilite B2
acceptable B1
accepter A2
acces B1
accessible B1
accident A1
"accident du travail" B1
accompagnateur B2
accompagner B1
accord A1
"accord " A2
accordeon B2
accordeoniste B2
accorder B2
accouchement B2
accoucher B1
accrochage B2
accrocher B2
accroissement B2
accroitre B2
accroupi B2
accroupir B2
accueil A1
"accueillir quelqu'un" B2
accuser B2
achat A2
acheminement B2
acheter A1.1
acheteur B1
achever B2
acide B1
acier B1
acompte B2
acquerir B2
"acquis sociaux" B2
acrylique B2
acteur A2
actif B1
action B2
activite A1
activites A2
actualite B1
actuel B1
actuellement B1
adaptation B2
adapte B1
adapter B1
additif B2
addition A1
additionner B1
adequat B2
adequation B2
adherence B2
adherent B1
adherer B2
adjectif A1
admettre B2
administratif B1
administration A2
admiration B1
admirer B1
admission B1
ADN B2
adolescence B1
"adolescent  " A2
adopter B1
adoption B1
adoration B2
adorer A1
adresse A1.1
"adresse electronique" A1
adresser B2
adroit B2
adulte A1
adultere B2
adverbe B1
adversaire B1
aeration B2
aerogare B2
aeroport A1.1
affaires A2
"affaires culturelles" B1
"affaires sociales" B1
affection B2
affectueux B2
affiche B1
affilie B2
affilier B2
affirmation B1
affirmer B1
afflige B2
affole B2
affolement B2
affranchir B2
affranchissement B2
"afin de" B1
africain A2
Afrique A2
agace B2
agacement B2
agacer B2
age A1.1
age A2
agence B1
"agence de presse" B2
"agence de voyage" B1
"agence d'interim" B2
agenda A2
agenouiller B2
"agent de police" A2
"agent hospitalier" B2
agglomere B2
agite B2
agiter B2
agneau A2
agnostique B2
agreable A2
agricole B1
agriculteur B1
agriculture A1
aide A2
"aide au logement" B1
aider A1.1
aide-soignant B2
aigle B2
aigre B2
aigu B1
aiguille B2
ail B2
aile B2
ailleurs B1
aimable B1
aimer A1.1
"aimer bien" A1
aine B1
ainsi B2
air A2
airbag B2
aire B2
"aire de repos" B1
aisselle B2
ajouter A2
alcool A1
alcootest B1
alerte B1
algebre B2
algebrique B2
aligne B2
aligner B2
alimentation B1
alimenter B2
allee B2
allege B2
allemand A2
"aller pour les vetements" B1
aller A1
"aller a la chasse" B2
"aller a la peche" B2
"aller et venir" B2
"aller mieux" A2
"aller simple" B1
allergie A2
allergique B1
aller-retour A1
alliage B2
"allocation chomage" B2
allocation B1
allonge A2
allongement B2
allonger B1
allumer A2
allumette A2
allure B2
"alors " A1
"alors que" B2
alphabet A2
alpinisme B2
alpiniste B2
altitude B2
aluminium B2
amabilite B1
amande B2
amandier B2
amant B2
amateur B2
ambassade A1
ambiance B1
ambulance A2
ameliorer B1
amende B1
amener B1
amer B1
americain A2
Amerique A2
amertume B2
ami A1.1
amiante B2
amitie A2
amont B2
amour A1
