words;level
à;A1
à cause de;A2
à ce moment-là;B1
à cloche-pied;B2
à condition que;B2
à côté de;A1
à crédit;B2
à deux pas;B2
à domicile;B2
à fond;B2
à grandes enjambées;B2
à grands pas;B1
à la bolognaise;B2
à la fin;B1
à la folie;B2
à la mode;B2
à la sauce tomate;B2
à la vapeur;B2
à la verticale;B2
à l'angle de;B2
à l'arrière;B1
à l'avant de;B2
à l'avenir;B2
à l'endroit;B2
à l'envers;B2
à l'époque;B2
à l'exception de;B2
à l'extérieur;B1
à l'horizontale;B2
à l'huile;B2
à l'instant;B1
à l'intérieur;B1
à l'occasion;B2
à l'origine;B1
à l'ouest;B2
à notre époque;B2
à nouveau;B1
à option;B2
à partir de;B1
à petits pas;B1
à peu près;B1
à plat;B2
à point;B1
à portée de ;B2
à présent;B1
à proximité;B2
à quatre pattes;B2
à reculons;B2
à tout bout de champ;B2
à toute allure;B2
à venir;B2
à vol d'oiseau;B2
abaisser;B2
abandonner;B1
abattu;B2
abbattement;B2
abbaye;B2
abbé;B2
abeille;A2
abominable;B2
abondance;B2
abonnement;B2
aboutir;B2
aboyer;B1
abricot;B1
abricotier;B2
abscisse;B2
absent;A1
absorber;B2
abstrait;B1
accablé;B2
accablement;B2
accélération;B2
accélérer;B1
accent;A1
acceptabilité;B2
acceptable;B1
accepter;A2
accès;B1
accessible;B1
accident;A1
accident du travail;B1
accompagnateur;B2
accompagner;B1
accord;A1
accord ;A2
accordéon;B2
accordéoniste;B2
accorder;B2
accorder (s');B2
accouchement;B2
accoucher;B1
accrochage;B2
accrocher;B2
accroissement;B2
accroître;B2
accroupi;B2
accroupir (s');B2
accueil;A1
accueillir quelqu'un;B2
accuser (s');B2
achat;A2
acheminement;B2
acheter;A1.1
acheteur;B1
achever (s');B2
acide;B1
acier;B1
acompte;B2
acquérir;B2
acquis sociaux;B2
acrylique;B2
acteur;A2
actif;B1
action;B2
activité;A1
activités;A2
actualité;B1
actuel;B1
actuellement;B1
adaptation;B2
adapté;B1
adapter;B1
additif;B2
addition;A1
additionner;B1
adéquat;B2
adéquation;B2
adhérence;B2
adhérent;B1
adhérer;B2
adjectif;A1
admettre;B2
administratif;B1
administration;A2
admiration;B1
admirer;B1
admission;B1
ADN;B2
adolescence;B1
adolescent  ;A2
adopter;B1
adoption;B1
adoration;B2
adorer;A1
adresse;A1.1
adresse électronique;A1
adresser;B2
adresser (s');A2
adroit;B2
adulte;A1
adultère;B2
adverbe;B1
adversaire;B1
aération;B2
aérogare;B2
aéroport;A1.1
affaires (possessions);A2
affaires (travail);B1
affaires culturelles;B1
affaires sociales;B1
affection;B2
affectueux;B2
affiche;B1
affilié;B2
affilier (s');B2
affirmation;B1
affirmer;B1
affligé;B2
affolé;B2
affolement;B2
affranchir;B2
affranchissement;B2
afin de;B1
africain (adj+ n);A2
Afrique;A2
agacé;B2
agacement;B2
agacer;B2
âge;A1.1
âgé;A2
agence;B1
agence de presse;B2
agence de voyage;B1
agence d'intérim;B2
agenda;A2
agenouiller (s');B2
agent de police;A2
agent hospitalier;B2
aggloméré;B2
agité;B2
agiter;B2
agneau;A2
agnostique;B2
agréable;A2
agricole;B1
agriculteur;B1
agriculture;A1
aide;A2
aide au logement;B1
aider;A1.1
aide-soignant;B2
aigle;B2
aigre;B2
aigu;B1
aiguille;B2
ail;B2
aile;B2
ailleurs;B1
aimable;B1
aimer;A1.1
aimer (bien);A1
aimer bien;A1
aîné;B1
ainsi;B2
air;A2
airbag;B2
aire;B2
aire de repos;B1
aisselle;B2
ajouter;A2
alcool;A1
alcootest;B1
alerte;B1
algèbre;B2
algébrique;B2
aligné;B2
aligner;B2
alimentation;B1
alimenter;B2
allée;B2
allégé;B2
allemand;A2
aller (bien/mal) pour les vêtements;B1
aller (n.);A1
aller (v.);A1.1
aller à la chasse;B2
aller à la pêche;B2
aller et venir;B2
aller mieux;A2
aller simple;B1
allergie;A2
allergique;B1
aller-retour;A1
alliage;B2
allocation chômage;B2
allocation(s);B1
allongé;A2
allongement;B2
allonger (s');B1
allumer;A2
allumette;A2
allure;B2
alors ;A1
alors que;B2
alphabet;A2
alpinisme;B2
alpiniste;B2
altitude;B2
aluminium;B2
amabilité;B1
amande;B2
amandier;B2
amant;B2
amateur;B2
ambassade;A1
ambiance;B1
ambulance;A2
améliorer;B1
amende;B1
amener;B1
amer;B1
américain (adj+n);A2
Amérique;A2
amertume;B2
ami;A1.1
amiante;B2
amitié;A2
amont (en -);B2
amour;A1
amoureux;A2
amphithéâtre;B1
ample;B2
amplitude;B2
ampoule;B2
amusant;B2
amuser;B2
amuser (s');A2
an;A1.1
analogie;B2
analogique;B2
analogue;B2
analyse ;A1
analytique;B2
ananas;B2
ancien;A1.1
ancienneté;B2
anesthésie;B1
anesthésier;B2
anesthésiste;B1
angine;B2
anglais;A1
angle;B1
anglophone;B1
angoisse;B2
angulaire;B2
animal ;A1.1
animateur;B1
animation;B1
animer;B1
anneau;B2
année;A1.1
année-lumière;B2
anniversaire;A1.1
annonce;A1
annoncer;A2
annuaire;B2
annuel;B1
annuler (annulé);A2
anorak;B2
antarctique;B2
antérieur;B2
antériorité;B2
anti-;B2
antibiotique;A2
antibrouillard ;B2
anticiper;B2
antidouleur;B2
anti-inflammatoire;B1
antilope;B2
antipathie;B2
antipathique;B2
antique;B2
Antiquité;B2
antiseptique;B2
antitétanique;B2
anus;B2
anxiété;B2
anxieux;B1
aorte;B2
août;A1.1
apatride;B2
apercevoir;B1
apéritif;A2
apparaître;B2
appareil photo;B1
apparence;B1
apparent;B1
apparition;B2
appartement;A1.1
appartenance;B2
appartenir ( à );B1
appel;A2
appeler;A1.1
appeler (s');A1.1
application;B2
application (numérique);B1
appliquer;B2
apporter;A1
appréciation;B2
apprécié;B2
apprécier;B1
appréhension;B2
apprenant;B2
apprendre;A1.1
apprenti;B2
apprentissage;B1
apprivoiser;B2
approbation;B2
approche;B2
approcher;B1
approcher (s');B1
approuver;B1
approximativement;B2
appui;B2
après;A1.1
après que;B2
après-demain;B1
après-midi;A1.1
apte;B2
aptitude;B2
arabophone;B1
araignée;B1
arbitre;B2
arbre;A1.1
arbre fruitier;B1
arc;B2
archéologie;B2
archipel;B2
archives;B1
arctique;B2
ardoise;B2
arête;B2
argent;A1
argenté;B1
argile;B2
